Number;Label;"Weighted All Degree of N1 (616)";"All closeness centrality in N1 (616)";"Betweenness centrality in N1 (616)";"Clustering Coefficients CC1 in N1 (616)";"Clustering Coefficients CC1' in N1 (616)";"Distribution of Distances in N1 (20)";"Centers in N1 [w,w] (616)"
282;fácil;2;0,206674303;0,001292339;0;0;;0
283;fã;2;0,222263451;1,4454949E-5;0;0;;0
284;gentil;2;0,185219542;0,001430047;0;0;;0
285;gerado;2;0,192873242;0,003877016;0;0;;0
286;gostar;2;0,268743233;0;1;0,037735849;;0
287;gostoso;1;0,197709779;0;999999998;999999998;;0
288;gratuito;4;0,251266821;0,001578801;0,083333333;0,006289308;;0
289;grátis;4;0,253559999;0,005200643;0;0;;0
290;ha;4;0,242696156;0,002419471;0;0;;0
291;haver;3;0,259077069;0,002322383;0,166666667;0,009433962;;0
292;higiene;1;0,217864660;0;999999998;999999998;;0
293;hora;4;0,224055898;0,001992127;0;0;;0
294;horario;2;0,192174426;0,001456088;0;0;;0
295;hospedagem;2;0,229070105;5,3260621E-4;0;0;;0
296;hospedar;8;0,266290077;0,013457778;0,035714286;0,005390836;;0
297;hoteis;10;0,262338830;0,004922296;0,023809524;0,003144654;;0
298;hotel;81;0,340397642;0,156655483;0,012336720;0,012336720;;1869,854423660
299;hs;2;0,199535417;0,004128598;0;0;;2
300;humorado;1;0,232261767;0;999999998;999999998;;0
301;hóspede;4;0,180856032;0,014045935;0;0;;0
302;ibis;34;0,320396243;0,064059235;0,030000000;0,014150943;;0
303;igual;4;0,237171365;0,001287042;0,166666667;0,009433962;;0
304;impecável;1;0,205654409;0;999999998;999999998;;0
305;imporante;2;0,181984267;0,002865390;0;0;;0
306;importante;2;0,253229843;0,004312924;0;0;;0
307;impossível;2;0,237074993;5,6016802E-4;0;0;;0
308;imteresse;2;0,214658410;7,2386597E-4;0;0;;0
309;in;9;0,235163869;0,005882998;0;0;;0
310;inaugurado;4;0,236115564;0,002589974;0;0;;0
311;inauguraçao;1;0,151898349;0;999999998;999999998;;0
312;inclusive;2;0,138749479;0,002595270;0;0;;2
313;incluso;13;0,272127593;0,012033764;0,069444444;0,011792453;;0
314;incluído;4;0,254333722;0,003030775;0;0;;0
315;indicar;1;0,252353615;0;999999998;999999998;;0
316;informar;2;0,253670243;0;0;0;;0
317;inglês;3;0,261164529;0,001495458;0,166666667;0,009433962;;0
318;interessante;2;0,200151478;3,7776554E-4;0;0;;0
319;internet;5;0,223883944;9,2011391E-4;0,050000000;0,004716981;;0
320;ipanema;3;0,179024719;0,008842324;0;0;;0
321;istalação;1;0,225006386;0;999999998;999999998;;0
322;janeiro;7;0,243608166;0,004512247;0;0;;0
323;janela;4;0,189737092;0,009707105;0;0;;7,571428571
324;lagoa;2;0,189122061;0,002601588;0;0;;0
325;lance;2;0,201048090;0,001292339;0;0;;0
326;lanche;2;0,209720186;0,001292339;0;0;;0
327;lapa;2;0,215292088;0,002739296;0;0;;0
328;leblon;4;0,214737416;0,014297215;0;0;;0
329;led;0;0;0;999999998;999999998;;1
330;legal;1;0,252353615;0;999999998;999999998;;0
331;levado;2;0,184984641;0,001292339;0;0;;0
332;limpeza;4;0,233190071;0,003153036;0;0;;0
333;limpo;8;0,279025136;0,009536346;0,089285714;0,013477089;;0
334;local;5;0,272636242;0,003907423;0,050000000;0,004716981;;0
335;localizacão;2;0,226403399;6,3576450E-4;0;0;;0
336;localizado;11;0,261047677;0,004905889;0,166666667;0,018867925;;0
337;localização;17;0,285580792;0,036312458;0,019230769;0,004716981;;0
338;locomoção;1;0,170547079;0;999999998;999999998;;0
339;loja;2;0,260000694;0,001346609;0,500000000;0,018867925;;0
340;lugar;5;0,239409749;0,007482869;0;0;;0
341;luz;2;0,248167400;0,010801964;0;0;;0
342;lá;6;0,278758509;0,015080731;0,033333333;0,003773585;;0
343;m;2;0,136445640;0,004306030;0;0;;2
344;m.;2;0,211009605;0,001608891;0;0;;0
345;madeira;2;0,246698333;0,004263658;0;0;;0
346;maior;2;0,208819455;0,001287042;0,500000000;0,018867925;;0
347;malo;2;0,167607457;6,3906724E-5;0;0;;0
348;manha;6;0,241991522;0,009011249;0,050000000;0,004716981;;0
349;manhà;2;0,233190071;2,0081818E-4;0;0;;0
350;manhã;28;0,290125091;0,026545132;0,041666667;0,012578616;;0
351;marginal;2;0,193000846;0,003896657;0;0;;0
352;marido;4;0,181136777;0,012330182;0;0;;0
353;meio;8;0,263285902;0,016872403;0;0;;0
354;meio-dia;3;0,254889278;0,001294987;0;0;;0
355;melhor;10;0,273018979;0,017405273;0,013888889;0,002358491;;0
356;melhorar;2;0,180743977;0,001430047;0;0;;0
357;menos;4;0,207335309;0,005467554;0;0;;6,276190476
358;mensagem;1;0,187481221;0;999999998;999999998;;0
359;mercado;2;0,235448571;0,002146346;0;0;;0
360;metro;11;0,226843530;0,010327744;0,053571429;0,008086253;;0
361;metrô;9;0,240000641;0,004734678;0,119047619;0,015723270;;0
362;minimizar;2;0,213480263;4,2633123E-4;0;0;;0
363;moderno;2;0,182325487;0,003988242;0;0;;0
364;modo;2;0,177553731;0,003328381;0;0;;0
365;moreno;2;0,161305380;0,004034365;0;0;;2
366;mto;2;0,250296679;0,004266307;0;0;;0
367;nado;2;0,250726927;0,003123008;0,500000000;0,018867925;;0
368;naheiros;2;0,250942606;0,002087921;0;0;;0
369;nao;12;0,263285902;0,031116109;0;0;;0
370;natal;0;0;0;999999998;999999998;;1
371;necessário;2;0,263523739;0;0,500000000;0,018867925;;0
372;negativo;3;0,225006386;0,001373698;0;0;;0
373;noite;6;0,205872110;0,013775774;0;0;;19,048527083
374;noivo;1;0,096213977;0;999999998;999999998;;0
375;normal;2;0,236594306;0,003633263;0;0;;0
376;noto;4;0,227817867;0,004169958;0;0;;0
377;novamente;1;0,216812173;0;999999998;999999998;;0
378;novo;41;0,310506417;0,070961715;0,025000000;0,011792453;;0
379;náo;1;0,179797090;0;999999998;999999998;;0
380;número;2;0,200151478;0,002960054;0;0;;0
381;obviamente;2;0,244322261;3,3382027E-4;0;0;;0
382;oferecer;10;0,283637121;0,014094405;0,055555556;0,009433962;;0
383;ok;1;0,181080558;0;999999998;999999998;;0
384;ond;1;0,108064745;0;999999998;999999998;;0
385;onde;6;0,268002553;0,013951010;0;0;;0
